cow_abbrev,country_name,global_group
AAB,Antigua & Barbuda,Global South
AFG,Afghanistan,Global South
ALB,Albania,Global South
ALG,Algeria,Global South
AND,Andorra,Global North
ANG,Angola,Global South
ARG,Argentina,Global South
ARM,Armenia,Global South
AUH,Austria-Hungary,Global South
AUL,Australia,Global North
AUS,Austria,Global North
AZE,Azerbaijan,Global South
BAD,Baden,Global South
BAH,Bahrain,Global South
BAR,Barbados,Global South
BAV,Bavaria,Global South
BEL,Belgium,Global North
BEN,Benin,Global South
BFO,Burkina Faso,Global South
BHM,Bahamas,Global South
BHU,Bhutan,Global South
BLR,Belarus,Global South
BLZ,Belize,Global South
BNG,Bangladesh,Global South
BOL,Bolivia,Global South
BOS,Bosnia and Herzegovina,Global South
BOT,Botswana,Global South
BRA,Brazil,Global South
BRU,Brunei,Global South
BUI,Burundi,Global South
BUL,Bulgaria,Global South
CAM,Cambodia,Global South
CAN,Canada,Global North
CAO,Cameroon,Global South
CAP,Cape Verde,Global South
CDI,Ivory Coast,Global South
CEN,Central African Republic,Global South
CHA,Chad,Global South
CHL,Chile,Global South
CHN,China,Global South
COL,Colombia,Global South
COM,Comoros,Global South
CON,Congo,Global South
COS,Costa Rica,Global South
CRO,Croatia,Global North
CUB,Cuba,Global South
CYP,Cyprus,Global North
CZE,Czechoslovakia,Global South
CZR,Czech Republic,Global North
DEN,Denmark,Global North
DJI,Djibouti,Global South
DMA,Dominica,Global South
DOM,Dominican Republic,Global South
DRC,Democratic Republic of the Congo,Global South
DRV,Vietnam,Global South
ECU,Ecuador,Global South
EGY,Egypt,Global South
EQG,Equatorial Guinea,Global South
ERI,Eritrea,Global South
EST,Estonia,Global North
ETH,Ethiopia,Global South
ETM,East Timor,Global South
FIJ,Fiji,Global South
FIN,Finland,Global North
FRN,France,Global North
FSM,Federated States of Micronesia,Global South
GAB,Gabon,Global South
GAM,Gambia,Global South
GDR,German Democratic Republic,Global South
GFR,German Federal Republic,Global South
GHA,Ghana,Global South
GMY,Germany,Global North
GNB,Guinea-Bissau,Global South
GRC,Greece,Global North
GRG,Georgia,Global South
GRN,Grenada,Global South
GUA,Guatemala,Global South
GUI,Guinea,Global South
GUY,Guyana,Global South
HAI,Haiti,Global South
HAN,Hanover,Global South
HON,Honduras,Global South
HSE,Hesse Electoral,Global South
HSG,Hesse Grand Ducal,Global South
HUN,Hungary,Global South
ICE,Iceland,Global North
IND,India,Global South
INS,Indonesia,Global South
IRE,Ireland,Global North
IRN,Iran,Global South
IRQ,Iraq,Global South
ISR,Israel,Global North
ITA,Italy,Global North
JAM,Jamaica,Global South
JOR,Jordan,Global South
JPN,Japan,Global North
KEN,Kenya,Global South
KIR,Kiribati,Global South
KOR,Korea,Global North
KOS,Kosovo,Global South
KUW,Kuwait,Global South
KYR,Kyrgyzstan,Global South
KZK,Kazakhstan,Global South
LAO,Laos,Global South
LAT,Latvia,Global North
